,Source,Reference,Adopted Mass,Object Radius,Old Accr Rate,Ha Accr Rate,PaB Accr Rate,BrG Accr Rate,Avg Accr Rate
339,2MASS J06445837+0014151,Kalari 2015,2.0,3.26,1.62e-07,,,,
340,2MASS J06450075+0013356,Kalari 2015,1.05,1.92,2.45e-08,2.192476431448076e-09,,,2.192476431448076e-09
341,2MASS J06450208+0019443,Kalari 2015,1.75,2.94,1.51e-07,1.3205038067620069e-06,,,1.3205038067620069e-06
342,2MASS J06450274+0018077,Kalari 2015,1.3,1.64,4.37e-08,3.1035484578328555e-08,,,3.1035484578328555e-08
343,2MASS J06450681+0013535,Kalari 2015,2.16,4.11,8.51e-09,3.045723109841121e-07,,,3.045723109841121e-07
344,2MASS J06450971+0014121,Kalari 2015,2.62,4.16,2.19e-07,4.4239474808760745e-07,,,4.4239474808760745e-07
345,2MASS J06451318+0018307,Kalari 2015,1.15,1.35,2e-08,1.1887009512529489e-08,,,1.1887009512529489e-08
346,2MASS J06451616+0022238,Kalari 2015,1.23,1.28,3.4700000000000002e-09,4.640972055557939e-09,,,4.640972055557939e-09
347,2MASS J06451701+0022077,Kalari 2015,2.0,2.01,3.55e-08,3.736362785686747e-08,,,3.736362785686747e-08
348,2MASS J06451727+0023454,Kalari 2015,1.57,2.31,4.6799999999999996e-08,4.414397450440616e-09,,,4.414397450440616e-09
349,2MASS J06451841+0022189,Kalari 2015,1.12,1.31,2.09e-09,7.084067933370708e-11,,,7.084067933370708e-11
350,2MASS J06452454+0022448,Kalari 2015,1.66,2.75,4.4699999999999997e-08,2.599703618728139e-11,,,2.599703618728139e-11
351,2MASS J06452774+0015514,Kalari 2015,0.56,1.88,2.19e-08,7.47254946713975e-09,,,7.47254946713975e-09
352,2MASS J04174955+2813318,Mohanty 2005,0.16,,3.16e-11,,,,
353,2MASS J04174955+2813318,Mohanty 2005,0.16,,2.0000000000000002e-11,,,,
354,2MASS J04183030+2743208,Mohanty 2005,0.13,,2.51e-11,,,,
355,2MASS J04183030+2743208,Mohanty 2005,0.13,,1.58e-11,,,,
356,2MASS J04330781+2616066,Muzerolle 2005,0.1,1.2,1e-12,,,,
357,2MASS J04262939+2624137,Mohanty 2005,0.08,,1.26e-10,,,,
358,2MASS J04262939+2624137,Mohanty 2005,0.08,,6.310000000000001e-11,,,,
359,2MASS J04262939+2624137,Muzerolle 2005,0.08,0.53,1e-10,,,,
360,2MASS J19013357-3700304,Mohanty 2005,0.08,,3.16e-09,,,,
