#VisAO z-prime
#Effective wavelength =      0.90969793 microns
#Effective width =       0.12102354 microns
#note: no atmosphere included
#     lambda     trans     RSR       RSR+atm
     0.971000     0.322546     0.371007     0.371007
     0.971500     0.320486     0.368828     0.368828
     0.972000     0.318405     0.366621     0.366621
     0.972500     0.316922     0.365101     0.365101
     0.973000     0.315848     0.364051     0.364051
     0.973500     0.313920     0.362015     0.362015
     0.974000     0.311882     0.359850     0.359850
     0.974500     0.309852     0.357691     0.357691
     0.975000     0.307907     0.355628     0.355628
     0.975500     0.305984     0.353588     0.353588
     0.976000     0.304096     0.351586     0.351586
     0.976500     0.302129     0.349491     0.349491
     0.977000     0.300140     0.347368     0.347368
     0.977500     0.298170     0.345265     0.345265
     0.978000     0.296333     0.343313     0.343313
     0.978500     0.294451     0.341306     0.341306
     0.979000     0.292971     0.339765     0.339765
     0.979500     0.291809     0.338590     0.338590
     0.980000     0.290059     0.336731     0.336731
     0.980500     0.287613     0.334062     0.334062
     0.981000     0.285308     0.331554     0.331554
     0.981500     0.282838     0.328851     0.328851
     0.982000     0.280456     0.326247     0.326247
     0.982500     0.278012     0.323570     0.323570
     0.983000     0.275719     0.321064     0.321064
     0.983500     0.273296     0.318404     0.318404
     0.984000     0.270999     0.315889     0.315889
     0.984500     0.268563     0.313209     0.313209
     0.985000     0.266953     0.311488     0.311488
     0.985500     0.264948     0.309306     0.309306
     0.986000     0.262613     0.306735     0.306735
     0.986500     0.260220     0.304095     0.304095
     0.987000     0.257850     0.301478     0.301478
     0.987500     0.255474     0.298851     0.298851
     0.988000     0.253153     0.296286     0.296286
     0.988500     0.250765     0.293640     0.293640
     0.989000     0.249052     0.291781     0.291781
     0.989500     0.247176     0.289729     0.289729
     0.990000     0.244837     0.287134     0.287134
     0.990500     0.242435     0.284460     0.284460
     0.991000     0.240106     0.281869     0.281869
     0.991500     0.237726     0.279216     0.279216
     0.992000     0.235389     0.276611     0.276611
     0.992500     0.232959     0.273893     0.273893
     0.993000     0.230642     0.271306     0.271306
     0.993500     0.228243     0.268619     0.268619
     0.994000     0.225946     0.266049     0.266049
     0.994500     0.223480     0.263278     0.263278
     0.995000     0.221135     0.260646     0.260646
     0.995500     0.219169     0.258459     0.258459
     0.996000     0.217295     0.256378     0.256378
     0.996500     0.214888     0.253665     0.253665
     0.997000     0.212190     0.250606     0.250606
     0.997500     0.209350     0.247376     0.247376
     0.998000     0.207632     0.245469     0.245469
     0.998500     0.205403     0.242956     0.242956
     0.999000     0.203447     0.240762     0.240762
     0.999500     0.201169     0.238185     0.238185
      1.00000     0.197727     0.234227     0.234227
      1.00050     0.196992     0.233473     0.233473
      1.00100     0.195626     0.231970     0.231970
      1.00150     0.193178     0.229182     0.229182
      1.00200     0.190804     0.226478     0.226478
      1.00250     0.188447     0.223792     0.223792
      1.00300     0.186556     0.221657     0.221657
      1.00350     0.184632     0.219480     0.219480
      1.00400     0.182729     0.217326     0.217326
      1.00450     0.180865     0.215217     0.215217
      1.00500     0.178938     0.213030     0.213030
      1.00550     0.176997     0.210823     0.210823
      1.00600     0.175063     0.208624     0.208624
      1.00650     0.173162     0.206461     0.206461
      1.00700     0.171216     0.204242     0.204242
      1.00750     0.169235     0.201980     0.201980
      1.00800     0.167255     0.199715     0.199715
      1.00850     0.165204     0.197364     0.197364
      1.00900     0.163234     0.195107     0.195107
      1.00950     0.161171     0.192737     0.192737
      1.01000     0.159147     0.190410     0.190410
      1.01050     0.157685     0.188755     0.188755
      1.01100     0.156229     0.187104     0.187104
      1.01150     0.154786     0.185467     0.185467
      1.01200     0.153288     0.183764     0.183764
      1.01250     0.151831     0.182107     0.182107
      1.01300     0.150360     0.180432     0.180432
      1.01350     0.148864     0.178725     0.178725
      1.01400     0.147423     0.177083     0.177083
      1.01450     0.145905     0.175345     0.175345
      1.01500     0.144443     0.173673     0.173673
      1.01550     0.142923     0.171930     0.171930
      1.01600     0.141384     0.170163     0.170163
      1.01650     0.139897     0.168457     0.168457
      1.01700     0.138346     0.166671     0.166671
      1.01750     0.136863     0.164965     0.164965
      1.01800     0.135364     0.163239     0.163239
      1.01850     0.133854     0.161497     0.161497
      1.01900     0.132387     0.159806     0.159806
      1.01950     0.130856     0.158035     0.158035
      1.02000     0.129390     0.156341     0.156341
      1.02050     0.128144     0.154911     0.154911
      1.02100     0.126890     0.153470     0.153470
      1.02150     0.125705     0.152111     0.152111
      1.02200     0.124454     0.150672     0.150672
      1.02250     0.123207     0.149235     0.149235
      1.02300     0.121984     0.147825     0.147825
      1.02350     0.120716     0.146361     0.146361
      1.02400     0.119482     0.144936     0.144936
      1.02450     0.118231     0.143488     0.143488
      1.02500     0.116977     0.142035     0.142035
      1.02550     0.115799     0.140674     0.140674
      1.02600     0.114564     0.139241     0.139241
      1.02650     0.113353     0.137836     0.137836
      1.02700     0.112178     0.136474     0.136474
      1.02750     0.110955     0.135051     0.135051
      1.02800     0.109759     0.133661     0.133661
      1.02850     0.108574     0.132282     0.132282
      1.02900     0.107346     0.130850     0.130850
      1.02950     0.106187     0.129500     0.129500
      1.03000     0.104958     0.128063     0.128063
      1.03050     0.103338     0.126148     0.126148
      1.03100     0.101771     0.124295     0.124295
      1.03150     0.100095     0.122308     0.122308
      1.03200    0.0984954     0.120411     0.120411
      1.03250    0.0969268     0.118551     0.118551
      1.03300    0.0952416     0.116546     0.116546
      1.03350    0.0936282     0.114627     0.114627
      1.03400    0.0920295     0.112725     0.112725
      1.03450    0.0903728     0.110749     0.110749
      1.03500    0.0887627     0.108828     0.108828
      1.03550    0.0871791     0.106938     0.106938
      1.03600    0.0855641     0.105008     0.105008
      1.03650    0.0839867     0.103122     0.103122
      1.03700    0.0823879     0.101208     0.101208
      1.03750    0.0807838    0.0992850    0.0992850
      1.03800    0.0792339    0.0974271    0.0974271
      1.03850    0.0776363    0.0955086    0.0955086
      1.03900    0.0760316    0.0935796    0.0935796
      1.03950    0.0745022    0.0917413    0.0917413
      1.04000    0.0729023    0.0898144    0.0898144
      1.04050    0.0714418    0.0880574    0.0880574
      1.04100    0.0700671    0.0864044    0.0864044
      1.04150    0.0686320    0.0846754    0.0846754
      1.04200    0.0671644    0.0829045    0.0829045
      1.04250    0.0657895    0.0812463    0.0812463
      1.04300    0.0643822    0.0795465    0.0795465
      1.04350    0.0633887    0.0783566    0.0783566
      1.04400    0.0624844    0.0772757    0.0772757
      1.04450    0.0615789    0.0761924    0.0761924
      1.04500    0.0605972    0.0750136    0.0750136
      1.04550    0.0596673    0.0738979    0.0738979
      1.04600    0.0587609    0.0728100    0.0728100
      1.04650    0.0577847    0.0716347    0.0716347
      1.04700    0.0568436    0.0705017    0.0705017
      1.04750    0.0559447    0.0694199    0.0694199
      1.04800    0.0549825    0.0682585    0.0682585
      1.04850    0.0540535    0.0671372    0.0671372
      1.04900    0.0531503    0.0660469    0.0660469
      1.04950    0.0522053    0.0649036    0.0649036
      1.05000    0.0512709    0.0637723    0.0637723
      1.05050    0.0503610    0.0626703    0.0626703
      1.05100    0.0494428    0.0615569    0.0615569
      1.05150    0.0484929    0.0604030    0.0604030
      1.05200    0.0475807    0.0592950    0.0592950
      1.05250    0.0466666    0.0581835    0.0581835
