Simbad-Resolvable Name,Source (Original),Alternative Names,Star Forming Region,SFR Age (Myr),COORDS,Disk Type,Reference,Epoch,Effective Temperature K,Temp err,Sp Type,Sp Type Err,J Magnitude,K Magnitude,R Magnitude,Method,Wavelength Range,Instrument,Tracer,Accretion Diagnostic,Line Flux erg/s/cm^2,Object Luminosity L_solar,Object Luminosity Error,Object Radius from L and T,R_err from L and T,Object Radius R_solar,R_err,New Radius,Accretion Rate M_solar yr-1,Log Accretion Rate,Object Mass Range M_solar,Object Mass M_Solar,Object Mass Err,New Mass,log object mass,Accretion Luminosity (CGS),Log Accretion Luminosity (solar),Age range Myr,System Age Myr,Companion?,A_V,A_V err,A_V source,A_J,Upper Limit,Notes/Questions2,Notes/Questions3,Distance
ISO-Oph 110,ISO-Oph 110,,p Oph,,246.79282347 -24.32017238,II,Natta 2006,2004 Spring,4365.15832,,G1,,8.75,6.72,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.92E+29,3.802,,3.42,,,,,1.45E-09,-8.84,,9.12E-01,,,-0.04,,-1.85,,1,,,,,0.9,upper limit,Added SIMBAD spectral type (Suarez 2006),,138.4006422
ISO-Oph 112,ISO-Oph 112,,p Oph,,246.796583 -24.67963,II,Natta 2006,2004 Spring,4365.15832,,,,17.81,10.2,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,3.715,,3.38,,,,,,,,9.12E-01,,,-0.04,,,,1,,,,,8.9,,,,
ISO-Oph 113,ISO-Oph 113,,p Oph,,246.798676 -24.394993,III,Natta 2006,2004 Spring,,,,,14.21,10.11,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
ISO-Oph 114,ISO-Oph 114,,p Oph,,246.798809 -24.642239,III,Natta 2006,2004 Spring,6165.95002,,,,21.1,11.06,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,51.286,,6.29,,,,,,,,4.37E+00,,,0.64,,,,1,,,,,16.2,,,,
ISO-Oph 115,ISO-Oph 115,,p Oph,,246.800547 -24.580317,II,Gatti 2006,May 19 20 2005,3850,,M0,2,15.62,11.49,,".06"" spectra 750 - 860 R spectra",4 - 2.4 um,ISAAC/ESO-VLT UT1 telescope,Line Width,EW PaB  & BrG,,0.07,,0.6,,,,,1.55E-11,-10.81,,6.00E-01,,,-0.22184875,,,.1-1,1,,,,,,,,,
ISO-Oph 115,ISO-Oph 115,,p Oph,,246.800547 -24.580317,II,Manara 2015,2010,3560,110,M2,,15.62,11.49,,R 4350-6450 spectroscopy,309 - 2500 nm,X-Shooter,Line Strength,Various Line Intensity,,0.145,,1,,1,0.14,,2.04E-10,-9.69,,5.10E-01,0.1,,-0.292429824,,-2.58,,1,,,,,,,,,
ISO-Oph 115,ISO-Oph 115,,p Oph,,246.800547 -24.580317,II,Natta 2006,2004 Spring,2818.38293,,,,15.62,11.49,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,4.41E+28,0.069,,1.11,,,,,7.24E-10,-9.14,,8.32E-02,,,-1.08,,-2.71,,1,,,,,3.7,,,bad mass,
ISO-Oph 116,ISO-Oph 116,,p Oph,,246.80722209 -24.30468365,II,Natta 2006,2004 Spring,3801.89396,,,,12.26,9.29,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,2.54E+29,1.413,,2.75,,,,,3.09E-09,-8.51,,5.01E-01,,,-0.3,,-1.68,,1,,,,,3.4,upper limit,,,136.5914958
ISO-Oph 117,ISO-Oph 117,,p Oph,,246.8075869 -24.72545783,II,Gatti 2006,May 19 20 2005,3950,,K8,,13.33,9.98,,".06"" spectra 750 - 860 R spectra",5 - 2.4 um,ISAAC/ESO-VLT UT1 telescope,Line Width,EW PaB  & BrG,,0.35,,1.27,,,,,2.34E-09,-8.63,,6.00E-01,,,-0.22184875,,,.1-1,1,,,,,,,,,145.4503142
ISO-Oph 117,ISO-Oph 117,,p Oph,,246.8075869 -24.72545783,II,Manara 2015,2010,3340,50,M3.5,,13.33,9.98,,R 4350-6450 spectroscopy,310 - 2500 nm,X-Shooter,Line Strength,Various Line Intensity,,0.221,,1.41,,1.41,0.04,,2.29E-10,-9.64,,3.30E-01,0.1,,-0.48148606,,-2.87,,1,,,,,,,,,145.4503142
ISO-Oph 117,ISO-Oph 117,,p Oph,,246.8075869 -24.72545783,II,Natta 2006,2004 Spring,3162.27766,,,,13.33,9.98,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.68E+29,0.339,,1.94,,,,,3.02E-09,-8.52,,2.14E-01,,,-0.67,,-1.92,,1,,,,,3.1,,,,145.4503142
ISO-Oph 118,ISO-Oph 118,,p Oph,,246.810438 -24.446135,II,Natta 2006,2004 Spring,3548.13389,,,,20.52,12.26,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.776,,2.34,,,,,,,,,,,,,,,1,,,,,10.5,,,,
ISO-Oph 120,ISO-Oph 120,,p Oph,,246.814393 -24.444389,II,Natta 2006,2004 Spring,3090.29543,,,,17.42,10.79,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.43E+29,0.269,,1.81,,,,,2.57E-09,-8.59,,1.86E-01,,,-0.73,,-2.02,,1,,,,,6.8,upper limit,,,
NAME WL 20E,ISO-Oph 121a,,p Oph,,246.8162 -24.64539,II,Natta 2006,2004 Spring,3388.44156,,,,13.89,9.59,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,6.67E+28,0.562,,2.18,,,,,7.08E-10,-9.15,,2.95E-01,,,-0.53,,-2.47,,1,companion,,,,4.1,upper limit,,,
WL 20,ISO-Oph 121b,,p Oph,,246.8154 -24.64539,II,Natta 2006,2004 Spring,3981.07171,,,,14.17,9.48,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.80E+29,2.042,,3.01,,,,,1.66E-09,-8.78,,6.31E-01,,,-0.2,,-1.89,,1,companion,,,,5,upper limit,,,
ISO-Oph 123,ISO-Oph 123,,p Oph,,246.82327842 -24.08713892,II,Manara 2015,2010,4060,,K7,,12.73,10.73,17.67,R 4350-6450 spectroscopy,311 - 2500 nm,X-Shooter,Line Strength,Various Line Intensity,,0.078,,0.57,,0.56,,,2.75E-10,-9.56,,6.20E-01,0.1,,-0.207608311,,-2.12,,1,,,,,,,,,136.5840333
ISO-Oph 123,ISO-Oph 123,,p Oph,,246.82327842 -24.08713892,II,Natta 2006,2004 Spring,2818.38293,,M3.5,,12.73,10.73,17.67,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,3.67E+29,0.071,,1.12,,,,,1.29E-08,-7.89,,8.32E-02,,,-1.08,,-1.46,,1,,,,,1,,Added SIMBAD spectral type (Wilking 2005),bad mass,136.5840333
ISO-Oph 124,ISO-Oph 124,,p Oph,,246.823215 -24.482304,II,Natta 2006,2004 Spring,3715.35229,,,,19.78,11.58,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,1.072,,2.51,,,,,,,,,,,,,,,1,,,,,9.5,,,,
ISO-Oph 128,ISO-Oph 128,,p Oph,,246.82703 -24.484976,II,Natta 2006,2004 Spring,3715.35229,,,,14.61,9.68,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,9.00E+28,1.202,,2.65,,,,,7.94E-10,-9.1,,4.57E-01,,,-0.34,,-2.3,,1,,,,,5.5,upper limit,,,
ISO-Oph 129,ISO-Oph 129,,p Oph,,246.830066 -24.478848,II,Natta 2006,2004 Spring,4073.80278,,K7,,19.45,11.49,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,2.138,,2.94,,,,,,,,,,,,,,,1,,,,,10.9,,Added SIMBAD spectral type (Ricci 2010),,
ISO-Oph 132,ISO-Oph 132,,p Oph,,246.839453 -24.695297,II,Natta 2006,2004 Spring,4073.80278,,,,15.22,8.48,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,3.34E+29,2.042,,2.88,,,,,3.80E-09,-8.42,,6.46E-01,,,-0.19,,-1.52,,1,,,,,6.6,upper limit,,,
ISO-Oph 135,ISO-Oph 135,,p Oph,,246.84547627 -24.29928628,III,Natta 2006,2004 Spring,,,,,13.33,9.45,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,1,,,,,,,,,165.6397005
ISO-Oph 138,ISO-Oph 138,,p Oph,,246.859264 -24.323055,II,Natta 2006,2004 Spring,2630.26799,,M7.75,,16.4,12.93,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,4.41E+27,0.016,,0.61,,,,0.54,4.17E-11,-10.38,,3.47E-02,,0.047607,-1.46,,-4.07,,1,,,,,3.1,upper limit,Added SIMBAD spectral type (Alves de Oliveira 2012),,
ISO-Oph 139,ISO-Oph 139,,p Oph,,246.859523 -24.712814,II,Natta 2006,2004 Spring,2884.0315,,,,,12.66,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,3.34E+29,0.186,,1.73,,,,,5.37E-08,-7.27,,1.51E-01,,,-0.82,,-0.77,,1,,,,,8.2,upper limit,,,
ISO-Oph 140,ISO-Oph 140,,p Oph,,246.860373 -24.65641,II,Natta 2006,2004 Spring,3801.89396,,M1,,15.69,9.95,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,9.64E+29,1.445,,2.78,,,,,1.91E-08,-7.72,,5.13E-01,,,-0.29,,-0.89,,1,,,,,6.7,,Added SIMBAD spectral type (Ricci 2010),,
ISO-Oph 142,ISO-Oph 142,,p Oph,,246.86407958 -24.52124267,II,Natta 2006,2004 Spring,3548.13389,,,,12.35,9.32,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,8.21E+28,0.851,,2.45,,,,,7.94E-10,-9.1,,3.72E-01,,,-0.43,,-2.35,,1,,,,,3,upper limit,,,183.577185
ISO-Oph 144,ISO-Oph 144,,p Oph,,246.868524 -24.455843,II,Natta 2006,2004 Spring,3388.44156,,,,15.74,10.1,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.53E+29,0.55,,2.16,,,,,2.19E-09,-8.66,,2.88E-01,,,-0.54,,-1.98,,1,,,,,5.8,upper limit,SIMBAD has spectral type but no citation (K6.5),,
ISO-Oph 147,ISO-Oph 147,,p Oph,,246.875751 -24.462046,II,Natta 2006,2004 Spring,3981.07171,,,,15.32,9.02,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.68E+29,1.862,,2.88,,,,,1.55E-09,-8.81,,6.03E-01,,,-0.22,,-1.93,,1,,,,,6.6,upper limit,SIMBAD has spectral type but no citation (M2),,
ISO-Oph 148,ISO-Oph 148,,p Oph,,246.87941035 -24.56757341,III,Natta 2006,2004 Spring,3388.44156,,,,13.43,10.39,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,5.30E+28,0.537,,2.13,,,,,5.25E-10,-9.28,,2.82E-01,,,-0.55,,-2.61,,1,,,,,3.6,upper limit,,,146.6103683
ISO-Oph 151,ISO-Oph 151,,p Oph,,246.87852615 -24.41558316,II,Natta 2006,2004 Spring,3235.93657,,M3.25,,12.7,10.07,18.45,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,4.11E+28,0.398,,2.01,,,,,4.07E-10,-9.39,,2.40E-01,,,-0.62,,-2.76,,1,,,,,2.6,upper limit,Added SIMBAD spectral type (Wilking 2010),,140.940354
ISO-Oph 152,ISO-Oph 152,,p Oph,,246.886149 -24.556648,II,Natta 2006,2004 Spring,3548.13389,,,,16.15,10.9,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,3.05E+29,0.794,,2.37,,,,,4.90E-09,-8.31,,3.55E-01,,,-0.45,,-1.58,,1,,,,,6.6,upper limit,,,
ISO-Oph 154,ISO-Oph 154,,p Oph,,246.886877 -24.543009,II,Natta 2006,2004 Spring,3630.78055,,,,16.19,10.96,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.84E+29,0.977,,2.51,,,,,2.24E-09,-8.65,,4.07E-01,,,-0.39,,-1.88,,1,,,,,6.9,upper limit,,,
ISO-Oph 155,ISO-Oph 155,,p Oph,,246.8879828 -24.68757255,II,Gatti 2006,May 19 20 2005,4730,,K3,2,11.32,7.81,17.66,".06"" spectra 750 - 860 R spectra",9 - 2.4 um,ISAAC/ESO-VLT UT1 telescope,Line Width,EW PaB  & BrG,,3.1,,2.63,,,,,5.25E-09,-8.28,,1.00E+00,,,0,,,.1-1,1,,,,,,,,,137.8549766
ISO-Oph 155,ISO-Oph 155,,p Oph,,246.8879828 -24.68757255,II,Natta 2006,2004 Spring,4265.79519,,,,11.32,7.81,17.66,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,2.11E+30,3.09,,3.23,,,,,4.07E-08,-7.39,,8.13E-01,,,-0.09,,-0.43,,1,,,,,3.2,,,,137.8549766
ISO-Oph 156,ISO-Oph 156,,p Oph,,246.89692667 -24.64262211,III,Natta 2006,2004 Spring,3019.95172,,M4.5,,11.28,9.67,16.16,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,2.06E+28,0.24,,1.79,,,,,1.95E-10,-9.71,,1.74E-01,,,-0.76,,-3.17,,1,,,,,0.8,upper limit,Added SIMBAD spectral type (WIlking 2010),,143.9055979
ISO-Oph 157,ISO-Oph 157,,p Oph,,246.89859296 -24.75903471,II,Natta 2006,2004 Spring,2884.0315,,,,12.71,10.88,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.11E+28,0.112,,1.35,,,,,2.88E-09,-8.54,,1.10E-01,,,-0.96,,-2.08,,1,,,,,1.4,upper limit,,,143.2705808
ISO-Oph 161,ISO-Oph 161,,p Oph,,246.905206 -24.71056,II,Natta 2006,2004 Spring,3981.07171,,,,,11.46,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,3.34E+29,1.862,,2.88,,,,,6.76E-08,-7.17,,6.03E-01,,,-0.22,,-0.3,,1,,,,,10.5,upper limit,,,
ISO-Oph 163,ISO-Oph 163,,p Oph,,246.90967521 -24.61627826,II,Gatti 2006,May 19 20 2005,4350,,K5,3,11.38,8.27,17.69,".06"" spectra 750 - 860 R spectra",6 - 2.4 um,ISAAC/ESO-VLT UT1 telescope,Line Width,EW PaB  & BrG,,1.6,,2.23,,,,,1.29E-08,-7.89,,6.00E-01,,,-0.22184875,,,.1-1,1,,,,,,,,,134.5750121
ISO-Oph 163,ISO-Oph 163,,p Oph,,246.90967521 -24.61627826,II,Natta 2006,2004 Spring,3890.45145,,,,11.38,8.27,17.69,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,6.08E+29,1.698,,2.88,,,,,9.55E-09,-8.02,,5.62E-01,,,-0.25,,-1.16,,1,,,,,2.7,,,,134.5750121
2MASS J16273863-2438391,ISO-Oph 164,GY 310,p Oph,,246.91095039 -24.64423075,II,Natta 2006,2004 Spring,2754.2287,,M8,,13.27,11.08,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,9.64E+27,0.049,,0.97,,,,0.69,9.77E-11,-10.01,,6.76E-02,,0.038933,-1.17,,-3.61,,1,,,,,1.2,,Added SIMBAD spectral type (Manara 2015),,143
ISO-Oph 165,ISO-Oph 165,,p Oph,,246.912269 -24.672409,II,Manara 2015,2010,3500,150,M2.5,,16.54,12.29,,R 4350-6450 spectroscopy,314 - 2500 nm,X-Shooter,Line Strength,Various Line Intensity,,0.034,,0.5,,0.5,0.1,0.69,4.57E-11,-10.34,,4.00E-01,0.1,0.325055,-0.397940009,,-3.04,,1,,,,,,,,,
ISO-Oph 166,ISO-Oph 166,,p Oph,,246.91429046 -24.6543133,II,Gatti 2006,May 19 20 2005,4350,,K5,3,10.75,8.46,15.76,".06"" spectra 750 - 860 R spectra",7 - 2.4 um,ISAAC/ESO-VLT UT1 telescope,Line Width,EW PaB  & BrG,,1.9,,2.43,,,,,6.46E-09,-8.19,,6.00E-01,,,-0.22184875,,,.1-1,1,,,,,,,,,137.0182097
ISO-Oph 166,ISO-Oph 166,,p Oph,,246.91429046 -24.6543133,II,Natta 2006,2004 Spring,3890.45145,,,,10.75,8.46,15.76,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.01E+30,1.738,,2.91,,,,,1.86E-08,-7.73,,5.62E-01,,,-0.25,,-0.87,,1,,,,,2.2,,,,137.0182097
ISO-Oph 168,ISO-Oph 168,,p Oph,,246.91785767 -24.36781445,II,Natta 2006,2004 Spring,3981.07171,,K5,,8.44,7.21,11.11,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,4.21E+29,1.905,,2.91,,,,,5.50E-09,-8.26,,6.03E-01,,,-0.22,,-1.38,,1,,,,,0,,Added SIMBAD spectral type (Torres 2006),,130.4563363
[GY92] 322,ISO-Oph 169a,,p Oph,,246.925 -24.5939,III,Natta 2006,2004 Spring,3311.31121,,,,14.3,10.57,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.501,,2.16,,,,,,,,2.69E-01,,,-0.57,,,,1,companion,,,,4.4,,,,
[GY92] 322,ISO-Oph 169b,,p Oph,,246.925 -24.5947      ,III,Natta 2006,2004 Spring,2884.0315,,,,14.3,10.57,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,3.34E+28,0.166,,1.64,,,,,4.17E-10,-9.38,,1.41E-01,,,-0.85,,-2.89,,1,companion,,,,3.8,upper limit,,,
ISO-Oph 171,ISO-Oph 171,,p Oph,,246.92397 -24.726694,II,Natta 2006,2004 Spring,3162.27766,,,,,12.29,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.316,,1.88,,,,,,,,,,,,,,,1,,,,,8.5,,,,
ISO-Oph 172,ISO-Oph 172,,p Oph,,246.92792478 -24.64739468,II,Natta 2006,2004 Spring,3090.29543,,M2,,13.25,10.54,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,5.81E+28,0.275,,1.84,,,,,7.59E-10,-9.12,,1.91E-01,,,-0.72,,-2.56,,1,,,,,2.8,upper limit,Added SIMBAD spectral type (Wilking 2005),,151.5059693
ISO-Oph 176,ISO-Oph 176,,p Oph,,246.94288263 -24.52812907,II,Natta 2006,2004 Spring,2818.38293,,M7.5,,13.83,11.32,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,9.21E+27,0.078,,1.17,,,,0.6,8.32E-11,-10.08,,8.91E-02,,0.03139,-1.05,,-3.64,,1,,,,,2.2,upper limit,Added SIMBAD spectral type (Manara 2015),,138.9525755
ISO-Oph 177,ISO-Oph 177,,p Oph,,246.946229 -24.759741,II,Natta 2006,2004 Spring,3090.29543,,,,15.75,11.13,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,2.37E+28,0.282,,1.86,,,,,2.19E-10,-9.66,,1.91E-01,,,-0.72,,-3.09,,1,,,,,5.2,upper limit,,,
ISO-Oph 178,ISO-Oph 178,,p Oph,,246.95745475 -24.42275858,II,Natta 2006,2004 Spring,3019.95172,,,,12.78,10.16,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,9.64E+28,0.224,,1.73,,,,,1.66E-09,-8.78,,1.70E-01,,,-0.77,,-2.25,,1,,,,,2.2,,,,206.011413
ISO-Oph 179,ISO-Oph 179,,p Oph,,246.95820389 -24.73804605,II,Natta 2006,2004 Spring,2884.0315,,,,13.85,10.94,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PfB,1.64E+28,0.145,,1.53,,,,,3.80E-09,-8.42,,1.29E-01,,,-0.89,,-1.94,,1,,,,,2.8,upper limit,,,127.3268991
ISO-Oph 180,ISO-Oph 180,,p Oph,,246.95782076 -24.42784383,III,Natta 2006,2004 Spring,,,A7,,9.44,7.3,13.69,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,1,,,,,,,Added SIMBAD spectral type (Wilking 2005),,141.9970465
ISO-Oph 181,ISO-Oph 181,,p Oph,,246.96044017 -24.65085566,III,Natta 2006,2004 Spring,,,,,14.47,11.85,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,1,,,,,,,,,496.9684922
ISO-Oph 183,ISO-Oph 183,,p Oph,,246.96623314 -24.77500153,III,Natta 2006,2004 Spring,3388.44156,,,,14.05,10.37,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,8.40E+28,0.603,,2.26,,,,,9.33E-10,-9.03,,3.02E-01,,,-0.52,,-2.34,,1,,,,,4.3,upper limit,,,
ISO-Oph 185,ISO-Oph 185,,p Oph,,246.980229 -24.477655,II,Natta 2006,2004 Spring,2818.38293,,,,13.04,10.79,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,4.83E+27,0.105,,1.36,,,,,3.31E-11,-10.48,,1.07E-01,,,-0.97,,-4.03,,1,,,,,1.7,upper limit,,,
ISO-Oph 186,ISO-Oph 186,,p Oph,,246.98189 -24.747473,III,Natta 2006,2004 Spring,2818.38293,,,,12.34,10.47,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,3.58E+28,0.105,,1.36,,,,,5.13E-10,-9.29,,1.07E-01,,,-0.97,,-2.84,,1,,,,,1,upper limit,,,164.5738361
ISO-Oph 187,ISO-Oph 187,,p Oph,,246.98158796 -24.43834147,II,Natta 2006,2004 Spring,3235.93657,,,,10.14,8.9,13.91,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,4.72E+29,0.407,,2.04,,,,,1.12E-08,-7.95,,2.40E-01,,,-0.62,,-1.32,,1,,,,,0.2,,Added SIMBAD spectral type (Cohen 1979),,133.1150247
ISO-Oph 189,ISO-Oph 189,,p Oph,,246.991145 -24.600615,III,Natta 2006,2004 Spring,2884.0315,,M1.5,,15.37,11.83,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,5.30E+28,0.162,,1.62,,,,,7.94E-10,-9.1,,1.38E-01,,,-0.86,,-2.61,,1,,,,,4.4,upper limit,,,
ISO-Oph 190,ISO-Oph 190,,p Oph,,247.014815 -24.577393,II,Natta 2006,2004 Spring,2754.2287,,,,19.17,13.2,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.043,,0.91,,,,,,,,,,,,,,,1,,,,,6.1,,,,
ISO-Oph 192,ISO-Oph 192,,p Oph,,247.024071 -24.565275,III,Natta 2006,2004 Spring,2818.38293,,,,16.76,12.56,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,3.93E+28,0.083,,1.21,,,,,5.89E-10,-9.23,,9.12E-02,,,-1.04,,-2.79,,1,,,,,5.1,upper limit,,,
ISO-Oph 193,ISO-Oph 193,,p Oph,,247.05301552 -24.1932566,II,Manara 2015,2010,3000,50,M6,,13.61,11.09,,R 4350-6450 spectroscopy,316 - 2500 nm,X-Shooter,Line Strength,Various Line Intensity,,0.072,,1,,1,0.07,0.42,5.01E-10,-9.3,,1.10E-01,,0.058417,-0.958607315,,-2.86,,1,,,,,,,,,151.7427657
ISO-Oph 193,ISO-Oph 193,,p Oph,,247.05301552 -24.1932566,II,Natta 2006,2004 Spring,2818.38293,,,,13.61,11.09,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,3.27E+28,0.078,,1.17,,,,0.42,4.79E-10,-9.32,,8.91E-02,,0.058417,-1.05,,-2.89,,1,,,,,1.9,,,,151.7427657
ISO-Oph 194,ISO-Oph 194,,p Oph,,247.05747878 -24.54707842,II,Natta 2006,2004 Spring,3019.95172,,,,12.35,10.1,18.08,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,2.48E+28,0.229,,1.75,,,,,2.51E-10,-9.6,,1.70E-01,,,-0.77,,-3.06,,1,,,,,1.8,upper limit,,,142.1262081
ISO-Oph 195,ISO-Oph 195,,p Oph,,247.06973635 -24.08734419,II,Natta 2006,2004 Spring,3630.78055,,,,10.98,8.86,15.59,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.39E+29,0.912,,2.42,,,,,1.62E-09,-8.79,,3.89E-01,,,-0.41,,-2.03,,1,,,,,1.8,,,,138.4945641
ISO-Oph 196,ISO-Oph 196,,p Oph,,247.06880485 -24.61612719,II,Natta 2006,2004 Spring,3090.29543,,M4,,11.31,9.32,16.55,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.88E+29,0.282,,1.86,,,,,3.72E-09,-8.43,,1.91E-01,,,-0.72,,-1.86,,1,,,,,0.9,,Added SIMBAD spectral type (Ricci 2010),,137.0839502
ISO-Oph 197,ISO-Oph 197,,p Oph,,247.090441 -24.713091,III,Natta 2006,2004 Spring,2818.38293,,,,16.83,12.44,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.56E+28,0.066,,1.08,,,,,1.82E-10,-9.74,,7.94E-02,,,-1.1,,-3.32,,1,,,,,4.9,upper limit,,,
ISO-Oph 198,ISO-Oph 198,,p Oph,,247.13619877 -24.37916933,III,Natta 2006,2004 Spring,4677.35141,,G7,,8.73,6.85,12.59,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,3.67E+29,0.174,,0.64,,,,,3.02E-09,-8.52,,1.18E+00,,,0.07,,-1.47,,1,,,,,1.3,upper limit,Added SIMBAD spectral type (Wilking 2005),,136.0044609
ISO-Oph 199,ISO-Oph 199,,p Oph,,247.18864729 -24.47189729,II,Natta 2006,2004 Spring,3715.35229,,,,9.21,8,12.4,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,3.34E+29,1.047,,2.48,,,,,4.90E-09,-8.31,,4.17E-01,,,-0.38,,-1.53,,1,,,,,0.2,,,,81.99342413
2MASS J19013357-3700304,LS-RCrA 1,,R Coronae Australis,,285.38990396 -37.00846541,I,Mohanty 2005,May 2002 - December 2003,2950,,M6.5,,15.18,13.97,,High Res spectra,8662 A,MIKE,Line Strength,Ca II,6.50E+00,,,,,,,,3.16E-09,-8.5,,8.00E-02,,,,,,,10,,,,,,,SED class from Fernadez and Comeron 2001 Accretion rate equation 1,,147.5448536
2MASS J19013357-3700304,LS-RCrA 1,,R Coronae Australis,,285.38990396 -37.00846541,I,Mohanty 2005,May 2002 - December 2003,2950,,M6.5,,15.18,13.97,,High Res spectra,8662 A,MIKE,Line Strength,Ca II,6.50E+00,,,,,,,,1.00E-09,-9,,8.00E-02,,,,,,,10,,,,,,,SED class from Fernadez and Comeron 2001 Accretion rate equation 3,,147.5448536
2MASS J06443291+0023546,2MASS J06443291+0023546,,Sh 2-284,,101.13714 0.39851,II,Kalari 2015,13-Dec,7244.3596,850,F0V,1,13.39,11.22,17.02,R 2000 spectroscopy,optical,Robert Stobie Spectrograph/SALT,Line Strength,Ha Line Strength,,18.621,,2.75,,,,,1.20E-07,-6.92,,1.79E+00,,,0.252853031,,0.28,5-Mar,4,,3.1,,,,,,,
